
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : RISCV
Version: O-2018.06-SP4
Date   : Mon Jun  7 13:01:38 2021
****************************************

 # A fanout number of 1000 was used for high fanout net computations.

Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

  Startpoint: EX_MEM/Q_reg[1]
              (rising edge-triggered flip-flop clocked by MY_CLK)
  Endpoint: ProgramCnt/pc_out_reg[25]
            (rising edge-triggered flip-flop clocked by MY_CLK)
  Path Group: MY_CLK
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  RISCV              5K_hvratio_1_1        NangateOpenCellLibrary

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  clock MY_CLK (rise edge)                                0.00       0.00
  clock network delay (ideal)                             0.00       0.00
  EX_MEM/Q_reg[1]/CK (DFFR_X1)                            0.00       0.00 r
  EX_MEM/Q_reg[1]/Q (DFFR_X1)                             0.11       0.11 r
  EX_MEM/Q[1] (reg_N139)                                  0.00       0.11 r
  fwd_unit/rd_ex_mem[1] (forward_unit)                    0.00       0.11 r
  fwd_unit/U48/ZN (XNOR2_X1)                              0.06       0.18 r
  fwd_unit/U32/ZN (NAND3_X1)                              0.03       0.21 f
  fwd_unit/U43/ZN (NOR4_X1)                               0.09       0.30 r
  fwd_unit/for_a[1] (forward_unit)                        0.00       0.30 r
  ALU_mux1/sel[1] (mux4_0)                                0.00       0.30 r
  ALU_mux1/U147/ZN (INV_X1)                               0.03       0.33 f
  ALU_mux1/U7/ZN (AND2_X1)                                0.04       0.38 f
  ALU_mux1/U146/ZN (AOI222_X1)                            0.10       0.47 r
  ALU_mux1/U134/ZN (INV_X1)                               0.03       0.50 f
  ALU_mux1/d[63] (mux4_0)                                 0.00       0.50 f
  SFU/RD1[63] (spec_function)                             0.00       0.50 f
  SFU/U3/Z (BUF_X1)                                       0.05       0.55 f
  SFU/U67/Z (XOR2_X1)                                     0.08       0.63 f
  SFU/funct_out[0] (spec_function)                        0.00       0.63 f
  SFU_MUX/b[0] (mux2_N64_3)                               0.00       0.63 f
  SFU_MUX/U152/ZN (AOI22_X1)                              0.05       0.68 r
  SFU_MUX/U151/ZN (INV_X1)                                0.04       0.72 f
  SFU_MUX/c[0] (mux2_N64_3)                               0.00       0.72 f
  ALU_unit/A[0] (ALU)                                     0.00       0.72 f
  ALU_unit/sub_16/A[0] (ALU_DW01_sub_0)                   0.00       0.72 f
  ALU_unit/sub_16/U2/ZN (NAND2_X1)                        0.04       0.75 r
  ALU_unit/sub_16/U140/ZN (NAND3_X1)                      0.04       0.79 f
  ALU_unit/sub_16/U2_1/CO (FA_X1)                         0.10       0.89 f
  ALU_unit/sub_16/U73/ZN (NAND2_X1)                       0.03       0.92 r
  ALU_unit/sub_16/U74/ZN (NAND3_X1)                       0.04       0.96 f
  ALU_unit/sub_16/U2_3/CO (FA_X1)                         0.09       1.05 f
  ALU_unit/sub_16/U2_4/CO (FA_X1)                         0.10       1.14 f
  ALU_unit/sub_16/U208/ZN (NAND2_X1)                      0.03       1.18 r
  ALU_unit/sub_16/U210/ZN (NAND3_X1)                      0.04       1.21 f
